trade_id,entry_time,exit_time,direction,entry_price,exit_price,exit_reason,holding_candles,spread_pct,fees_pct,cost_total_pct,pnl_gross_pct,pnl_net_pct,mae_pct,mfe_pct,ema50_at_entry,ema100_at_entry,stoch_k_at_entry,stoch_d_at_entry,volatility_regime,trend_regime,split,month,spec_hash
51,2025-06-07 13:31:00,2025-06-07 13:53:00,LONG,105558.13,105769.24626,TP,22,5e-05,0.0008,0.0008500000000000001,0.001999999999999955,0.0011499999999999549,0.00016862746621224638,0.0022913441153229537,105449.98711856836,105322.73551274746,64.69615543612709,38.23128626766081,High,Ranging,train,2025-06,c555ac9efd53
52,2025-06-07 14:02:00,2025-06-07 14:07:00,LONG,105606.05,105526.8454625,SL,5,5e-05,0.0008,0.0008500000000000001,-0.0007500000000000152,-0.0016000000000000153,0.001004109139580622,8.673745490910315e-05,105588.50708417746,105470.45028725547,13.87460217595546,11.989376994717238,High,Ranging,train,2025-06,c555ac9efd53
53,2025-06-07 14:45:00,2025-06-07 14:51:00,LONG,105540.0,105460.845,SL,6,5e-05,0.0008,0.0008500000000000001,-0.000749999999999989,-0.001599999999999989,0.0010677468258480417,0.0,105534.11162603609,105500.34862554543,12.104722171839304,10.704122565526438,High,Ranging,train,2025-06,c555ac9efd53
54,2025-06-07 15:46:00,2025-06-07 15:59:00,LONG,105476.42,105558.11,EOD,13,5e-05,0.0008,0.0008500000000000001,0.0007744858993128733,-7.551410068712676e-05,0.0001632592384155735,0.0008885398271955112,105461.55544596341,105467.21449177703,24.679938333668662,16.42499124903982,Medium,Ranging,train,2025-06,c555ac9efd53
55,2025-06-08 12:24:00,2025-06-08 12:36:00,LONG,105609.98,105530.77251499999,SL,12,5e-05,0.0008,0.0008500000000000001,-0.0007500000000000594,-0.0016000000000000595,0.0008496356120888947,0.0009429980007572301,105606.10247279085,105558.24653549585,15.117815505205632,9.181678648119023,Low,Ranging,train,2025-06,c555ac9efd53
56,2025-06-08 13:12:00,2025-06-08 13:18:00,LONG,105712.83,105633.5453775,SL,6,5e-05,0.0008,0.0008500000000000001,-0.0007499999999999598,-0.00159999999999996,0.0008027407836872836,0.0002668550260171055,105668.05826713773,105624.87048292089,56.780540696138786,33.58307526578128,Medium,Ranging,train,2025-06,c555ac9efd53
57,2025-06-08 14:41:00,2025-06-08 14:48:00,SHORT,105719.99,105799.27999250001,SL,7,5e-05,0.0008,0.0008500000000000001,-0.0007500000000000874,-0.0016000000000000875,0.0007568105142650388,0.0002123534063899518,105732.27774413614,105720.69888861896,75.31225465921948,83.08094357583754,Low,Ranging,train,2025-06,c555ac9efd53
58,2025-06-08 15:19:00,2025-06-08 15:49:00,LONG,105929.71,105970.38,MAX_HOLD,30,5e-05,0.0008,0.0008500000000000001,0.0003839338368810625,-0.0004660661631189376,0.0,0.0012293057349065395,105874.59258993709,105815.08830767991,24.426200983884502,15.717152566202627,Medium,Trending,train,2025-06,c555ac9efd53
59,2025-06-08 15:53:00,2025-06-08 15:59:00,LONG,105968.15,105984.52,EOD,6,5e-05,0.0008,0.0008500000000000001,0.00015448037924612157,-0.0006955196207538785,0.00018165835677984377,0.0002545104354468882,105953.0433557966,105896.80937365291,19.08942317831415,12.82488720121627,Medium,Ranging,train,2025-06,c555ac9efd53
60,2025-06-09 12:12:00,2025-06-09 12:37:00,LONG,107574.85,107789.9997,TP,25,5e-05,0.0008,0.0008500000000000001,0.0019999999999999484,0.0011499999999999484,0.0003219153919341245,0.002074369613343585,106656.44047785645,106313.02368682905,8.955946234818583,6.623882186571838,Medium,Trending,train,2025-06,c555ac9efd53
61,2025-06-09 12:52:00,2025-06-09 13:14:00,LONG,107718.96,107638.17078,SL,22,5e-05,0.0008,0.0008500000000000001,-0.0007500000000000559,-0.0016000000000000558,0.0008453479313206535,0.0016193992218267589,107514.1561381272,107083.45364158876,12.665521191295147,8.242921931073054,Medium,Trending,train,2025-06,c555ac9efd53
62,2025-06-09 13:15:00,2025-06-09 13:25:00,LONG,107651.17,107570.4316225,SL,10,5e-05,0.0008,0.0008500000000000001,-0.0007500000000000492,-0.0016000000000000493,0.001047643049304516,0.00020389931665393968,107640.27549259677,107321.70654027983,21.21227808032015,13.111967995874217,Low,Ranging,train,2025-06,c555ac9efd53
63,2025-06-09 14:05:00,2025-06-09 14:09:00,SHORT,107215.99,107296.4019925,SL,4,5e-05,0.0008,0.0008500000000000001,-0.0007499999999999788,-0.0015999999999999788,0.0008731906500140076,0.0008134980612500165,107337.59490878049,107331.82519628969,88.78681782736481,88.86048110646546,High,Ranging,train,2025-06,c555ac9efd53
64,2025-06-09 15:23:00,2025-06-09 15:37:00,LONG,107836.0,107755.12299999999,SL,14,5e-05,0.0008,0.0008500000000000001,-0.0007500000000000712,-0.0016000000000000714,0.0008514781705553524,0.0014280945138914647,107727.55766024982,107630.39013480212,50.94708928892078,31.696487920844294,Medium,Ranging,train,2025-06,c555ac9efd53
65,2025-06-09 15:46:00,2025-06-09 15:58:00,LONG,107800.08,107719.22994,SL,12,5e-05,0.0008,0.0008500000000000001,-0.0007499999999999725,-0.0015999999999999725,0.0014594608835169858,0.0005876619015495282,107778.90882407878,107700.41381251042,60.58069621214997,39.75118203149965,Low,Ranging,train,2025-06,c555ac9efd53
66,2025-06-10 12:01:00,2025-06-10 12:06:00,LONG,109570.56,109488.38208,SL,5,5e-05,0.0008,0.0008500000000000001,-0.0007500000000000174,-0.0016000000000000174,0.0009190424873250359,0.00042812594916009824,107913.98356273583,107790.1814187187,66.33725104533123,33.113779490402834,Medium,Ranging,train,2025-06,c555ac9efd53
67,2025-06-10 12:13:00,2025-06-10 12:43:00,LONG,109445.87,109534.14,MAX_HOLD,30,5e-05,0.0008,0.0008500000000000001,0.0008065174135854015,-4.348258641459859e-05,0.0001541401242458518,0.0014788132252044398,108518.7635780831,108155.64508483482,18.403169731200748,15.420511221392948,Low,Ranging,train,2025-06,c555ac9efd53
68,2025-06-10 13:08:00,2025-06-10 13:31:00,LONG,109682.4,109600.13819999999,SL,23,5e-05,0.0008,0.0008500000000000001,-0.0007500000000000684,-0.0016000000000000684,0.0008520965989073165,0.0019912948659037686,109482.38161355694,109108.97453508708,62.838304777727735,39.22308601869235,Low,Ranging,train,2025-06,c555ac9efd53
69,2025-06-10 13:56:00,2025-06-10 13:58:00,SHORT,109166.13,109248.00459750001,SL,2,5e-05,0.0008,0.0008500000000000001,-0.0007500000000000514,-0.0016000000000000515,0.0013987855024264126,9.453481588114358e-05,109350.49970046614,109286.65684809262,79.37465096387466,83.65045023418554,Medium,Ranging,train,2025-06,c555ac9efd53
70,2025-06-10 14:15:00,2025-06-10 14:28:00,SHORT,109085.76,108867.58847999999,TP,13,5e-05,0.0008,0.0008500000000000001,0.002000000000000032,0.001150000000000032,0.0001305394947975358,0.0037690528992967934,109241.78422209636,109244.80114839681,53.47272290314603,69.23558369304466,High,Ranging,train,2025-06,c555ac9efd53
71,2025-06-10 15:49:00,2025-06-10 15:52:00,SHORT,108785.58,108867.169185,SL,3,5e-05,0.0008,0.0008500000000000001,-0.0007500000000000401,-0.0016000000000000402,0.0007546036892021581,0.0005714911847691418,108798.94747684644,108863.30588760707,80.90039800469835,86.02242782186319,Medium,Ranging,train,2025-06,c555ac9efd53
72,2025-06-11 12:21:00,2025-06-11 12:22:00,LONG,109172.4,109090.5207,SL,1,5e-05,0.0008,0.0008500000000000001,-0.0007500000000000048,-0.0016000000000000048,0.0010186640579486377,0.0,109090.84892894521,109016.77694585435,7.56319087372287,7.12861407884323,High,Ranging,train,2025-06,c555ac9efd53
