trade_id,entry_time,exit_time,direction,entry_price,exit_price,exit_reason,holding_candles,spread_pct,fees_pct,cost_total_pct,pnl_gross_pct,pnl_net_pct,mae_pct,mfe_pct,ema50_at_entry,ema100_at_entry,stoch_k_at_entry,stoch_d_at_entry,pullback_stoch_min,pullback_stoch_max,volatility_regime,trend_regime,split,month,spec_hash,pb_depth_bucket
40,2019-05-31 13:15:00,2019-05-31 13:20:00,SHORT,8399.98,8383.18004,TP,1,5e-05,0.0008,0.0008500000000000001,0.002000000000000034,0.0011500000000000338,2.3809580499520904e-06,0.003120245524394002,8546.812790003069,8602.4148987355,71.48229130453358,75.47565041697929,71.48229130453358,80.8645093483159,High,Trending,train,2019-05,3509407d0c39,
41,2019-05-31 13:25:00,2019-05-31 13:30:00,SHORT,8393.9,8377.1122,TP,1,5e-05,0.0008,0.0008500000000000001,0.0020000000000000074,0.0011500000000000074,0.00037408117799845567,0.00335600853000394,8534.629945712175,8594.025331095643,61.549914917753966,66.35437314613216,61.549914917753966,80.8645093483159,High,Trending,train,2019-05,3509407d0c39,
42,2019-06-09 13:40:00,2019-06-09 13:45:00,SHORT,7724.43,7708.98114,TP,1,5e-05,0.0008,0.0008500000000000001,0.0020000000000000547,0.0011500000000000546,0.0,0.005503318691476292,7815.781814778585,7844.456226735236,26.488217380066136,29.531657340055546,24.309606400082668,71.20488432473066,High,Trending,train,2019-06,3509407d0c39,
43,2019-06-12 13:15:00,2019-06-12 13:20:00,LONG,7968.37,7962.3937225,SL,1,5e-05,0.0008,0.0008500000000000001,-0.0007499999999999905,-0.0015999999999999905,0.0010428732601522634,0.00019953892703277403,7874.114277430706,7851.671435938717,55.76087529885691,65.6347000312014,27.7095653984944,71.42133051476527,Medium,Trending,train,2019-06,3509407d0c39,
44,2019-06-26 15:05:00,2019-06-26 15:10:00,LONG,12910.29,12900.607282500001,SL,1,5e-05,0.0008,0.0008500000000000001,-0.0007499999999999886,-0.0015999999999999886,0.004307416796989113,0.0019132025694232203,12501.313733886467,12034.462237815678,64.59205229383365,41.86226508334379,19.604093667665076,64.59205229383365,Medium,Ranging,train,2019-06,3509407d0c39,15-20
45,2019-06-30 15:20:00,2019-06-30 15:25:00,SHORT,11214.41,11222.8208075,SL,1,5e-05,0.0008,0.0008500000000000001,-0.0007500000000000333,-0.0016000000000000333,0.0007945134875575135,0.004851793362290112,11482.047209635675,11655.504346003903,28.925146701016313,40.23535817317936,28.925146701016313,74.86688872570306,Medium,Trending,train,2019-06,3509407d0c39,
46,2019-07-01 13:50:00,2019-07-01 13:55:00,SHORT,10650.08,10628.77984,TP,1,5e-05,0.0008,0.0008500000000000001,0.0020000000000000647,0.0011500000000000646,0.0,0.006760512597088473,10994.916510594294,11275.551524367233,41.20795107033611,49.21523655333669,41.20795107033611,71.93638606861448,Low,Trending,train,2019-07,3509407d0c39,
47,2019-07-02 12:05:00,2019-07-02 12:10:00,SHORT,10088.57,10096.1364275,SL,1,5e-05,0.0008,0.0008500000000000001,-0.0007499999999999919,-0.001599999999999992,0.003115406841603943,0.005805579978133642,10559.408103160493,10892.945273335286,51.74555128166684,71.97844357875603,51.74555128166684,91.7876886485476,High,Trending,train,2019-07,3509407d0c39,
48,2019-07-10 14:10:00,2019-07-10 14:15:00,LONG,12944.93,12935.2213025,SL,1,5e-05,0.0008,0.0008500000000000001,-0.0007500000000000153,-0.0016000000000000155,0.01892092116372976,0.0,12751.081253521143,12458.7479005471,18.186518555473132,21.844779187611266,17.77286674065135,24.700456621004523,High,Trending,train,2019-07,3509407d0c39,15-20
49,2019-07-14 13:25:00,2019-07-14 13:30:00,SHORT,10681.57,10689.5811775,SL,1,5e-05,0.0008,0.0008500000000000001,-0.0007500000000000454,-0.0016000000000000454,0.0012573058080413545,0.002728999575905006,11041.69225226638,11263.581904708333,37.356555161242596,59.46290139222203,37.356555161242596,86.06499640602813,Medium,Trending,train,2019-07,3509407d0c39,
